date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-08-08 08:45:00,247.47,247.5,246.95,247.04,104408.0,-1.8709,248.093,38.7121,250.09365855680866,248.093,246.09234144319132
2023-08-08 09:00:00,247.04,247.19,246.759,247.18,139431.0,-0.8305,247.9895,39.7091,249.98669237553847,247.9895,245.99230762446152
2023-08-08 09:15:00,247.16,253.445,242.85,247.47,182302.0,-0.3744,247.943,41.7745,249.9299901373591,247.943,245.9560098626409
2023-08-08 09:30:00,247.45,249.2,246.1,247.18,7835231.0,-0.6431,247.863,40.3206,249.9372854865344,247.863,245.7887145134656
2023-08-08 09:45:00,247.2,247.36,245.01,246.97,6351321.0,-0.7315,247.772,39.2785,249.8433148122817,247.772,245.70068518771828
2023-08-08 10:00:00,246.91,249.7,246.12,248.721,6920073.0,-0.0318,247.7681,50.5054,249.66997731327146,247.7681,245.86622268672855
2023-08-08 10:15:00,248.69,250.4,248.26,250.12,6225654.0,0.3571,247.8126,57.1659,249.73695040611042,247.8126,245.88824959388958
2023-08-08 10:30:00,250.12,250.92,248.06,250.69,5251587.0,0.4447,247.8681,59.5032,249.77990192889374,247.8681,245.95629807110626
2023-08-08 10:45:00,250.7,250.9,248.97,249.08,4317806.0,-0.0923,247.8566,51.1972,249.71945082762008,247.8566,245.9937491723799
2023-08-08 11:00:00,249.1,249.58,247.88,248.82,4350789.0,-0.1605,247.8366,50.0105,249.71893420201363,247.8366,245.95426579798638
2023-08-08 11:15:00,248.87,249.42,247.44,248.0,4267170.0,-0.3135,247.7976,46.4372,249.70411025339914,247.7976,245.89108974660084
2023-08-08 11:30:00,248.02,248.29,246.3,246.68,4208419.0,-0.5804,247.7256,41.4221,249.6394576856844,247.7256,245.81174231431558
2023-08-08 11:45:00,246.64,247.43,246.45,246.903,2714380.0,-0.5065,247.6627,42.5259,249.3962183609413,247.6627,245.9291816390587
2023-08-08 12:00:00,246.9,247.95,246.65,247.54,2441187.0,0.2024,247.6877,45.6077,249.12710807973352,247.6877,246.2482919202665
2023-08-08 12:15:00,247.54,248.59,247.52,247.885,2427017.0,0.4071,247.738,47.2211,248.92285657093456,247.738,246.55314342906544
2023-08-08 12:30:00,247.875,248.81,247.3,247.446,2717239.0,0.3227,247.7778,45.4167,248.82051007677757,247.7778,246.73508992322246
2023-08-08 12:45:00,247.445,248.63,247.13,248.48,2604918.0,0.5666,247.8478,50.1405,248.65637655888747,247.8478,247.03922344111254
2023-08-08 13:00:00,248.55,249.235,248.35,249.211,2507800.0,1.1367,247.9878,53.1573,248.55347420220886,247.9878,247.42212579779113
2023-08-08 13:15:00,249.211,249.64,248.73,249.17,2037779.0,0.9439,248.1043,52.9681,248.63556464600737,248.1043,247.57303535399262
